source,target,weight
海泰发展,上港集团,1
海泰发展,中信证券,1
海泰发展,歌华有线,1
海泰发展,中直股份,1
海泰发展,象屿股份,1
海泰发展,国投安信,1
海泰发展,南京高科,1
海泰发展,*ST光学,1
海泰发展,金花股份,1
海泰发展,东风科技,1
博信股份,浦发银行,1
博信股份,首创股份,1
博信股份,上海机场,1
博信股份,上港集团,1
博信股份,浙能电力,1
博信股份,歌华有线,1
博信股份,中直股份,1
博信股份,中江地产,1
博信股份,华润万东,1
博信股份,象屿股份,1
博信股份,*ST光学,1
博信股份,青鸟华光,1
博信股份,金花股份,1
博信股份,东风科技,1
博信股份,海泰发展,1
中葡股份,山东钢铁,1
中葡股份,钢构工程,1
同仁堂,中直股份,1
东方金钰,东风汽车,1
东方金钰,上海机场,1
东方金钰,中江地产,1
东方金钰,保千里,1
中视传媒,浦发银行,1
中视传媒,白云机场,1
中视传媒,首创股份,1
中视传媒,上海机场,1
中视传媒,上港集团,1
中视传媒,歌华有线,1
中视传媒,中直股份,1
中视传媒,华润万东,1
中视传媒,象屿股份,1
中视传媒,*ST光学,1
中视传媒,上海梅林,1
中视传媒,青鸟华光,1
中视传媒,金花股份,1
中视传媒,东风科技,1
中视传媒,海泰发展,1
中视传媒,博信股份,1
特变电工,浦发银行,1
特变电工,首创股份,1
特变电工,上港集团,1
特变电工,浙能电力,1
特变电工,歌华有线,1
特变电工,中直股份,1
特变电工,象屿股份,1
特变电工,*ST光学,1
特变电工,上海梅林,1
特变电工,金花股份,1
特变电工,东风科技,1
特变电工,海泰发展,1
特变电工,博信股份,1
特变电工,中视传媒,1
啤酒花,武钢股份,1
啤酒花,中国联通,1
啤酒花,皖维高新,1
*ST明科,浦发银行,1
*ST明科,白云机场,1
*ST明科,东风汽车,1
*ST明科,上海机场,1
*ST明科,皖通高速,1
*ST明科,日照港,1
*ST明科,中原高速,1
*ST明科,上海电力,1
*ST明科,华电国际,1
*ST明科,福建高速,1
*ST明科,歌华有线,1
*ST明科,中直股份,1
*ST明科,浙江广厦,1
*ST明科,中江地产,1
*ST明科,华润万东,1
*ST明科,象屿股份,1
*ST明科,国投安信,1
*ST明科,南京高科,1
*ST明科,*ST光学,1
*ST明科,上海梅林,1
*ST明科,保千里,1
*ST明科,青鸟华光,1
*ST明科,东风科技,1
*ST明科,博信股份,1
*ST明科,中视传媒,1
禾嘉股份,浦发银行,1
禾嘉股份,白云机场,1
禾嘉股份,东风汽车,1
禾嘉股份,中国国贸,1
禾嘉股份,首创股份,1
禾嘉股份,上海机场,1
禾嘉股份,上港集团,1
禾嘉股份,中原高速,1
禾嘉股份,上海电力,1
禾嘉股份,福建高速,1
禾嘉股份,歌华有线,1
禾嘉股份,中直股份,1
禾嘉股份,浙江广厦,1
禾嘉股份,中江地产,1
禾嘉股份,华润万东,1
禾嘉股份,象屿股份,1
禾嘉股份,国投安信,1
禾嘉股份,南京高科,1
禾嘉股份,*ST光学,1
禾嘉股份,上海梅林,1
禾嘉股份,东风科技,1
禾嘉股份,海泰发展,1
禾嘉股份,博信股份,1
禾嘉股份,中视传媒,1
禾嘉股份,特变电工,1
禾嘉股份,*ST明科,1
大名城,浦发银行,1
大名城,白云机场,1
大名城,东风汽车,1
大名城,上海机场,1
大名城,华能国际,1
大名城,皖通高速,1
大名城,日照港,1
大名城,中原高速,1
大名城,上海电力,1
大名城,中海发展,1
大名城,华电国际,1
大名城,福建高速,1
大名城,楚天高速,1
大名城,歌华有线,1
大名城,中直股份,1
大名城,浙江广厦,1
大名城,中江地产,1
大名城,华润万东,1
大名城,象屿股份,1
大名城,国投安信,1
大名城,南京高科,1
大名城,*ST光学,1
大名城,上海梅林,1
大名城,保千里,1
大名城,*ST明科,1
大名城,禾嘉股份,1
哈高科,白云机场,1
哈高科,武钢股份,1
哈高科,宝钢股份,1
哈高科,中原高速,1
哈高科,上海电力,1
哈高科,中海发展,1
哈高科,福建高速,1
哈高科,楚天高速,1
哈高科,中国联通,1
哈高科,宁波联合,1
哈高科,皖维高新,1
哈高科,浙江富润,1
哈高科,上海梅林,1
哈高科,大名城,1
云天化,包钢股份,1
云天化,中国石化,1
云天化,*ST银鸽,1
云天化,宋都股份,1
开创国际,东风汽车,1
开创国际,皖通高速,1
开创国际,日照港,1
开创国际,保千里,1
开创国际,东方金钰,1
广州发展,武钢股份,1
广州发展,宝钢股份,1
广州发展,山东钢铁,1
广州发展,南方航空,1
广州发展,招商银行,1
广州发展,中国联通,1
广州发展,黄山旅游,1
广州发展,皖维高新,1
林海股份,浦发银行,1
林海股份,白云机场,1
林海股份,东风汽车,1
林海股份,上海机场,1
林海股份,皖通高速,1
林海股份,日照港,1
林海股份,中原高速,1
林海股份,上海电力,1
林海股份,中海发展,1
林海股份,华电国际,1
林海股份,福建高速,1
林海股份,歌华有线,1
林海股份,中直股份,1
林海股份,浙江广厦,1
林海股份,中江地产,1
林海股份,华润万东,1
林海股份,象屿股份,1
林海股份,国投安信,1
林海股份,南京高科,1
林海股份,*ST光学,1
林海股份,上海梅林,1
林海股份,保千里,1
林海股份,东风科技,1
林海股份,博信股份,1
林海股份,*ST明科,1
林海股份,禾嘉股份,1
林海股份,大名城,1
同方股份,浦发银行,1
同方股份,白云机场,1
同方股份,东风汽车,1
同方股份,上海机场,1
同方股份,皖通高速,1
同方股份,日照港,1
同方股份,中原高速,1
同方股份,上海电力,1
同方股份,中海发展,1
同方股份,华电国际,1
同方股份,福建高速,1
同方股份,楚天高速,1
同方股份,歌华有线,1
同方股份,中直股份,1
同方股份,浙江广厦,1
同方股份,中江地产,1
同方股份,华润万东,1
同方股份,象屿股份,1
同方股份,国投安信,1
同方股份,南京高科,1
同方股份,*ST光学,1
同方股份,上海梅林,1
同方股份,东风科技,1
同方股份,海泰发展,1
同方股份,中视传媒,1
同方股份,*ST明科,1
同方股份,禾嘉股份,1
同方股份,大名城,1
同方股份,哈高科,1
同方股份,林海股份,1
明星电力,澄星股份,1
青山纸业,武钢股份,1
青山纸业,华能国际,1
青山纸业,皖通高速,1
青山纸业,日照港,1
青山纸业,宝钢股份,1
青山纸业,中原高速,1
青山纸业,上海电力,1
青山纸业,中海发展,1
青山纸业,南方航空,1
青山纸业,福建高速,1
青山纸业,楚天高速,1
青山纸业,中国联通,1
青山纸业,黄山旅游,1
青山纸业,皖维高新,1
青山纸业,啤酒花,1
青山纸业,哈高科,1
青山纸业,广州发展,1
上汽集团,浦发银行,1
上汽集团,中国国贸,1
